year,revenue,gross_profit,operating_income,net_income,current_assets,current_liabilities,total_assets,total_liabilities,shareholders_equity,total_debt
2020,274515,104956,66288,57411,143713,105392,323888,258549,65339,112436
2021,365817,152836,108949,94680,134836,125481,351002,287912,63090,124719
2022,394328,170782,119437,99803,135405,153982,352755,302083,50672,120069
2023,383285,169148,114301,96995,143566,145308,352583,290437,62146,111088
2024,391035,180683,123216,102355,152987,150980,364980,300120,64860,106629
2025,412210,193450,133550,110940,161500,154300,379800,309600,70200,101300

